,0
0,2.2802293300628658
1,2.4930760860443115
2,2.4162986278533936
3,2.238197565078736
4,2.178642988204956
5,2.320474147796631
6,2.1029801368713383
7,1.9800699949264529
8,2.173202991485596
9,2.435332059860229
10,2.024160861968994
11,2.289276361465454
12,2.238018274307251
13,1.9861739873886108
14,1.986895203590393
15,1.9812613725662231
16,1.971311092376709
17,1.7067559957504272
18,1.77873432636261
19,1.90144431591034
20,1.540535569190979
21,1.8680596351623533
22,1.8545898199081416
23,1.696485996246338
24,1.646396279335022
25,1.3625484704971311
26,1.5102955102920532
27,1.66360604763031
28,1.6630693674087524
29,1.2151684761047363
30,1.2668191194534302
31,1.1295348405838013
32,1.3714953660964966
33,1.1024746894836426
34,1.0330387353897097
35,1.094913363456726
36,1.2036329507827759
37,0.9552619457244872
38,0.8699122071266174
39,0.9630878567695618
40,0.8754826188087463
41,0.7019385695457458
42,0.8268601298332214
43,0.480658084154129
44,0.5520733594894409
45,0.4294621646404265
46,0.4256600439548493
47,0.1723489910364151
48,0.1457652747631073
49,0.18497765064239505
50,0.07406904548406601
51,0.052697401493787766
52,0.06639357656240462
53,0.07608470320701599
54,0.049766559153795235
55,0.05190764367580414
56,0.32165563106536865
57,0.13862383365631106
58,0.06375061720609665
59,0.014036205597221851
60,0.04188486561179161
61,0.003091443097218871
62,0.04130294919013977
63,0.07496645301580429
64,0.1049290895462036
65,0.08153366297483444
66,0.04997782781720162
67,0.027316605672240257
68,0.09672412276268004
69,0.08379649370908737
70,0.01460958179086447
71,0.01717219315469265
72,0.005332496482878922
73,0.08823271840810776
74,0.01480336766690016
75,0.059717282652854926
76,0.027199314907193184
77,0.016917454078793526
78,0.15554013848304749
79,0.4086162745952606
80,0.21308396756649012
81,0.5373523235321045
82,0.38370004296302795
83,0.4082222878932953
84,0.2581537067890167
85,0.16819609701633453
86,0.16063521802425385
87,0.3067155182361603
88,0.9050124287605286
89,0.1878458261489868
90,0.1662113517522812
91,0.2161823064088821
92,0.23565028607845304
93,0.20722870528697968
94,0.146083801984787
95,0.2288123369216919
96,0.24882245063781736
97,0.12998825311660767
98,0.1892690062522888
99,0.118973009288311
100,0.145376518368721
101,0.19336004555225367
102,0.26406461000442505
103,0.10869187116622923
104,0.14782236516475675
105,0.14006467163562775
106,0.3174743354320526
107,0.12628188729286194
108,0.16977371275424954
109,0.2820725739002228
110,0.08801617473363876
111,0.0965307429432869
112,0.06601262837648393
113,0.08934145420789719
114,0.09199830889701843
115,0.09972815960645676
116,0.05943790078163148
117,0.07698120921850203
118,0.04335792362689972
119,0.10840070247650146
120,0.01757550612092018
121,0.0258256271481514
122,0.04789048433303833
123,0.01991257257759571
124,0.052961383014917374
125,0.03999711200594902
126,0.05150405690073967
127,0.0367267020046711
128,0.11642369627952576
129,0.08768785744905473
130,0.03786810487508774
131,0.04857717081904411
132,0.027961915358901024
133,0.02952992357313633
134,0.015666253864765167
135,0.06324409693479538
136,0.07888903468847275
137,0.01468841731548309
138,0.017963873222470284
139,0.02387047559022904
140,0.02205241657793522
141,0.08706822991371155
142,0.07459307461977005
143,0.02754421532154084
144,0.08535042405128479
145,0.037959177047014236
146,0.029625648632645607
147,0.14868317544460294
148,0.017485838383436203
149,0.007569353561848401
150,0.024559617042541504
151,0.007821082137525082
152,0.024887420237064358
153,0.0069101545959711075
154,0.0463489256799221
155,0.010690408758819105
156,0.04646142944693565
157,0.043155040591955185
158,0.017949147149920464
159,0.015817226842045784
160,0.012112111784517763
161,0.007921135984361172
162,0.007343200501054525
163,0.01631990261375904
164,0.014103342778980732
165,0.0033000705298036337
166,0.0033927487675100565
167,0.008577987551689148
168,0.006254334468394518
169,0.005982512608170509
170,0.006430499721318482
171,0.012167383916676044
172,0.0026392501313239336
173,0.03473073616623878
174,0.005926685873419046
175,0.0010948368581011894
176,0.1988617330789566
177,0.0021572525147348642
178,0.004924702923744917
179,0.00464489171281457
180,0.009493601508438587
181,0.0019461155170574784
182,0.0013278179103508592
183,0.03043256513774395
184,0.0026189435739070177
185,0.03667833283543587
186,0.0023173564113676552
187,0.0020137170795351267
188,0.00345184956677258
189,0.5920313000679016
190,0.039939209818840034
191,0.05186381936073303
192,0.08790837973356247
193,0.13289542496204376
194,0.22326131165027616
195,0.12572328746318814
196,0.10037543624639512
197,0.16489359736442566
198,0.14398159086704254
199,0.15299244225025174
200,0.1497015655040741
201,0.0751429870724678
202,0.1285456418991089
203,0.1377323716878891
204,0.20893342792987826
205,0.0755705013871193
206,0.10676971822977066
207,0.13593444228172302
208,0.09990530461072923
209,0.12645123898983002
